일시,모기지수(수변부),모기지수(주거지),모기지수(공원),평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),최고 해면기압(hPa),최저 해면기압(hPa),평균 해면기압(hPa),평균 지면온도(°C),연도,월,일,연도월
2020-01-01,5.5,5.5,5.5,-2.2,-6.5,0.3,2.6,0.6,37.0,64.4,1034.0,1031.2,1032.1,-0.9,2020,1,1,2020-01
2020-01-02,5.5,5.5,5.5,1.0,-0.7,3.8,4.0,1.2,54.0,65.4,1031.3,1028.2,1029.6,0.1,2020,1,2,2020-01
2020-01-03,5.5,5.5,5.5,-0.1,-3.4,4.6,3.5,1.7,26.0,56.9,1029.0,1025.8,1027.3,-0.4,2020,1,3,2020-01
2020-01-04,5.5,5.5,5.5,1.2,-2.8,6.1,4.5,1.9,32.0,50.8,1028.4,1024.4,1026.2,0.0,2020,1,4,2020-01
2020-01-05,5.5,5.5,5.5,1.3,-3.2,6.6,2.9,1.1,28.0,45.6,1032.6,1028.1,1030.6,-0.5,2020,1,5,2020-01
2020-01-06,5.5,5.5,5.5,3.1,0.6,4.6,5.4,3.1,39.0,65.4,1030.3,1020.5,1026.0,1.0,2020,1,6,2020-01
2020-01-07,5.5,5.5,5.5,6.3,4.2,7.7,6.3,4.0,93.0,95.0,1020.5,997.8,1009.7,5.1,2020,1,7,2020-01
2020-01-08,5.5,5.5,5.5,2.4,-0.4,8.9,6.3,3.3,73.0,86.1,1023.3,997.4,1014.3,4.0,2020,1,8,2020-01
2020-01-09,5.5,5.5,5.5,-1.2,-3.1,2.0,4.3,2.3,47.0,65.3,1025.9,1022.8,1024.3,1.3,2020,1,9,2020-01
2020-01-10,5.5,5.5,5.5,-0.6,-4.3,4.2,3.7,1.5,36.0,62.9,1026.2,1022.1,1023.9,0.2,2020,1,10,2020-01
2020-01-11,5.5,5.5,5.5,-0.1,-2.6,3.9,4.8,1.9,35.0,60.9,1022.6,1018.5,1020.3,0.1,2020,1,11,2020-01
2020-01-12,5.5,5.5,5.5,-1.0,-3.5,2.8,4.1,2.4,38.0,61.5,1020.6,1016.8,1018.4,0.4,2020,1,12,2020-01
2020-01-13,5.5,5.5,5.5,-2.9,-4.7,0.2,4.9,2.3,28.0,51.0,1026.0,1020.0,1023.4,-1.3,2020,1,13,2020-01
2020-01-14,5.5,5.5,5.5,-2.3,-5.7,2.6,3.3,1.6,20.0,45.3,1028.1,1024.2,1026.0,-1.6,2020,1,14,2020-01
2020-01-15,5.5,5.5,5.5,-2.7,-6.4,2.2,4.5,1.9,24.0,44.8,1030.0,1027.4,1028.7,-2.0,2020,1,15,2020-01
2020-01-16,5.5,5.5,5.5,-1.7,-5.5,3.2,4.4,1.6,24.0,43.0,1029.3,1025.3,1027.3,-1.6,2020,1,16,2020-01
2020-01-17,5.5,5.5,5.5,-0.6,-4.8,4.9,3.8,1.5,27.0,43.9,1025.7,1021.6,1023.5,-0.8,2020,1,17,2020-01
2020-01-18,5.5,5.5,5.5,0.3,-4.1,5.9,4.2,1.8,17.0,48.1,1023.1,1020.2,1021.7,-0.6,2020,1,18,2020-01
2020-01-19,5.5,5.5,5.5,1.9,-0.4,5.3,6.1,2.2,42.0,62.8,1020.9,1016.6,1018.7,0.5,2020,1,19,2020-01
2020-01-20,5.5,5.5,5.5,0.7,-3.3,5.5,5.7,2.5,24.0,46.8,1028.5,1020.3,1023.0,-0.1,2020,1,20,2020-01
2020-01-21,5.5,5.5,5.5,-0.4,-5.6,5.5,3.5,1.4,19.0,36.9,1032.4,1028.1,1029.8,-0.8,2020,1,21,2020-01
2020-01-22,5.5,5.5,5.5,3.0,-0.1,7.8,3.2,1.7,22.0,36.0,1028.9,1022.9,1025.4,1.3,2020,1,22,2020-01
2020-01-23,5.5,5.5,5.5,4.6,0.0,9.9,4.7,2.0,32.0,49.3,1027.2,1022.0,1024.2,2.2,2020,1,23,2020-01
2020-01-24,5.5,5.5,5.5,2.8,-1.3,7.4,3.7,1.7,43.0,63.0,1031.7,1027.2,1030.3,1.9,2020,1,24,2020-01
2020-01-25,5.5,5.5,5.5,4.3,0.6,8.8,3.9,1.5,49.0,63.1,1031.1,1027.2,1029.5,2.4,2020,1,25,2020-01
2020-01-26,5.5,5.5,5.5,5.5,-0.2,11.9,6.1,2.7,31.0,56.3,1029.5,1024.6,1027.2,3.5,2020,1,26,2020-01
2020-01-27,5.5,5.5,5.5,5.9,4.8,7.5,7.0,4.6,35.0,48.1,1025.8,1018.3,1021.0,3.6,2020,1,27,2020-01
2020-01-28,5.5,5.5,5.5,6.8,4.3,9.9,5.4,2.6,37.0,49.4,1019.6,1016.9,1018.2,4.6,2020,1,28,2020-01
2020-01-29,5.5,5.5,5.5,6.0,3.2,9.6,3.6,2.1,35.0,46.4,1018.8,1013.8,1015.8,3.7,2020,1,29,2020-01
2020-01-30,5.5,5.5,5.5,5.2,1.4,10.4,3.0,1.8,30.0,47.0,1016.9,1013.3,1014.9,3.0,2020,1,30,2020-01
2020-01-31,5.5,5.5,5.5,3.9,1.4,8.9,4.4,2.3,41.0,59.6,1022.6,1016.8,1019.7,2.8,2020,1,31,2020-01
2020-02-01,5.5,5.5,5.5,2.6,-1.2,7.6,4.7,1.7,43.0,66.6,1025.4,1022.2,1024.1,2.3,2020,2,1,2020-02
2020-02-02,5.5,5.5,5.5,1.5,-2.1,5.3,4.7,1.8,24.0,52.3,1027.4,1023.9,1025.6,1.9,2020,2,2,2020-02
2020-02-03,5.5,5.5,5.5,-0.4,-2.9,3.0,5.7,3.1,23.0,43.6,1029.4,1024.8,1027.3,2.3,2020,2,3,2020-02
2020-02-04,5.5,5.5,5.5,-1.6,-6.0,3.9,6.2,2.8,32.0,50.3,1029.2,1023.3,1026.7,0.3,2020,2,4,2020-02
2020-02-05,5.5,5.5,5.5,-8.3,-11.0,-4.9,5.5,3.3,27.0,37.3,1035.0,1027.8,1032.4,-2.5,2020,2,5,2020-02
2020-02-06,5.5,5.5,5.5,-6.4,-11.8,0.4,4.0,1.9,19.0,36.4,1036.7,1032.2,1034.2,-2.7,2020,2,6,2020-02
2020-02-07,5.5,5.5,5.5,-1.7,-7.2,2.2,3.5,2.0,14.0,45.1,1032.4,1026.9,1029.5,-0.4,2020,2,7,2020-02
2020-02-08,5.5,5.5,5.5,-0.1,-2.3,3.7,5.3,3.0,29.0,48.1,1028.9,1025.8,1027.5,1.4,2020,2,8,2020-02
2020-02-09,5.5,5.5,5.5,-0.5,-5.6,4.1,4.4,2.0,24.0,51.1,1029.0,1022.5,1025.5,0.5,2020,2,9,2020-02
2020-02-10,5.5,5.5,5.5,4.0,-0.7,9.6,4.2,1.7,25.0,49.4,1027.5,1021.6,1024.1,3.4,2020,2,10,2020-02
2020-02-11,5.5,5.5,5.5,6.8,-0.5,14.6,3.6,1.6,17.0,37.0,1029.1,1024.6,1026.9,0.6,2020,2,11,2020-02
2020-02-12,5.5,5.5,5.5,7.4,6.5,8.2,5.0,2.2,31.0,73.4,1024.7,1012.3,1016.9,5.8,2020,2,12,2020-02
2020-02-13,5.5,5.5,5.5,6.5,4.9,8.7,3.2,1.7,69.0,84.8,1021.5,1014.7,1019.3,6.6,2020,2,13,2020-02
2020-02-14,5.5,5.5,5.5,8.1,3.2,14.7,3.0,1.2,41.0,70.3,1022.8,1018.7,1020.8,6.9,2020,2,14,2020-02
2020-02-15,5.5,5.5,5.5,9.8,6.2,15.6,5.0,2.7,37.0,63.0,1022.9,1011.9,1017.6,6.6,2020,2,15,2020-02
2020-02-16,5.5,5.5,5.5,-1.4,-4.3,7.7,6.6,4.0,59.0,81.1,1016.2,1011.4,1013.5,2.2,2020,2,16,2020-02
2020-02-17,60.4,25.0,36.1,-5.9,-7.1,-3.9,5.6,3.4,52.0,64.3,1023.3,1015.8,1018.4,0.3,2020,2,17,2020-02
2020-02-18,33.7,14.0,20.1,-4.1,-8.3,1.3,4.1,2.3,27.0,44.0,1029.9,1023.0,1027.7,-0.1,2020,2,18,2020-02
2020-02-19,26.7,11.0,15.9,1.0,-4.4,6.4,3.2,1.5,35.0,56.8,1031.3,1029.0,1030.2,1.8,2020,2,19,2020-02
2020-02-20,36.3,15.0,21.6,4.6,-0.6,10.8,3.3,1.7,35.0,62.6,1035.3,1030.8,1033.4,4.0,2020,2,20,2020-02
2020-02-21,36.3,15.0,21.6,6.7,2.1,10.9,5.3,2.2,40.0,66.3,1034.8,1022.1,1029.2,4.4,2020,2,21,2020-02
2020-02-22,36.3,15.0,21.6,4.0,0.0,7.9,8.2,4.0,40.0,62.0,1029.9,1021.4,1024.9,4.2,2020,2,22,2020-02
2020-02-23,36.3,15.0,21.6,2.5,-2.5,8.0,4.2,2.0,25.0,48.6,1031.2,1026.8,1029.0,3.6,2020,2,23,2020-02
2020-02-24,36.3,15.0,21.6,7.0,0.8,12.2,3.4,1.6,35.0,51.8,1027.5,1021.1,1024.1,6.1,2020,2,24,2020-02
2020-02-25,36.3,15.0,21.6,6.7,4.7,9.4,6.8,4.2,58.0,73.5,1021.1,1014.8,1017.9,6.0,2020,2,25,2020-02
2020-02-26,36.3,15.0,21.6,6.4,2.8,10.4,4.0,2.1,39.0,59.6,1026.2,1020.4,1023.3,5.4,2020,2,26,2020-02
2020-02-27,36.3,15.0,21.6,6.1,1.3,12.5,4.4,2.0,27.0,54.0,1029.7,1026.1,1027.7,6.0,2020,2,27,2020-02
2020-02-28,36.3,15.0,21.6,4.5,3.6,5.9,4.2,1.4,43.0,79.4,1026.7,1019.7,1022.5,4.7,2020,2,28,2020-02
2020-02-29,36.3,15.0,21.6,7.7,4.5,13.0,4.2,1.7,41.0,68.6,1019.7,1016.0,1018.2,8.4,2020,2,29,2020-02
2020-03-01,36.3,15.0,21.6,5.8,3.2,10.1,4.7,2.0,58.0,71.8,1020.0,1016.5,1018.5,5.5,2020,3,1,2020-03
2020-03-02,36.3,15.0,21.6,3.4,0.0,7.6,4.9,2.7,33.0,55.3,1026.4,1020.0,1023.8,5.0,2020,3,2,2020-03
2020-03-03,36.3,15.0,21.6,4.8,0.3,10.5,4.7,2.6,35.0,57.0,1026.3,1021.3,1023.9,3.7,2020,3,3,2020-03
2020-03-04,36.5,15.1,21.8,2.2,-1.3,4.6,6.8,3.7,32.0,53.4,1024.5,1020.4,1022.2,4.0,2020,3,4,2020-03
2020-03-05,36.3,15.0,21.6,1.4,-2.8,6.3,4.1,2.5,25.0,47.5,1027.5,1023.6,1025.3,3.8,2020,3,5,2020-03
2020-03-06,36.3,15.0,21.6,3.7,-2.5,10.1,3.6,1.6,16.0,46.8,1025.2,1019.5,1022.3,4.5,2020,3,6,2020-03
2020-03-07,36.3,15.0,21.7,7.0,1.3,14.2,4.1,2.0,18.0,39.5,1020.2,1015.6,1018.0,7.0,2020,3,7,2020-03
2020-03-08,36.7,15.2,21.9,9.3,2.3,16.9,4.6,1.6,20.0,43.8,1020.9,1016.5,1018.4,8.6,2020,3,8,2020-03
2020-03-09,36.3,15.0,21.7,11.1,4.8,17.6,4.5,1.8,20.0,37.6,1018.6,1010.5,1013.9,9.7,2020,3,9,2020-03
2020-03-10,36.3,15.0,21.6,6.4,3.2,10.8,5.3,2.8,40.0,78.4,1011.6,1005.2,1008.0,6.5,2020,3,10,2020-03
2020-03-11,36.3,15.0,21.6,3.8,0.0,8.3,5.5,3.3,24.0,41.8,1022.4,1011.6,1018.4,4.8,2020,3,11,2020-03
2020-03-12,36.3,15.0,21.6,6.8,0.2,13.3,5.4,2.5,19.0,49.8,1023.2,1018.5,1021.4,5.5,2020,3,12,2020-03
2020-03-13,36.3,15.0,21.6,4.9,-0.1,8.7,5.4,3.3,18.0,41.0,1024.3,1020.2,1021.9,7.7,2020,3,13,2020-03
2020-03-14,36.3,15.0,21.6,3.6,-2.7,8.6,6.8,3.0,25.0,48.1,1021.5,1011.8,1015.6,5.6,2020,3,14,2020-03
2020-03-15,36.3,15.0,21.6,4.0,0.2,8.5,7.8,3.6,19.0,48.3,1018.2,1008.4,1011.9,6.2,2020,3,15,2020-03
2020-03-16,36.3,15.0,21.6,3.6,-2.1,9.1,5.2,2.8,17.0,42.4,1024.7,1018.2,1022.1,6.1,2020,3,16,2020-03
2020-03-17,36.3,15.0,21.6,6.6,3.1,12.3,5.2,2.1,50.0,65.8,1020.9,1012.1,1015.5,7.5,2020,3,17,2020-03
2020-03-18,36.3,15.0,21.6,10.0,2.7,17.0,4.4,1.8,16.0,45.8,1017.1,1008.4,1012.9,9.8,2020,3,18,2020-03
2020-03-19,36.3,15.0,21.6,9.1,5.8,12.1,8.2,4.8,27.0,49.0,1012.7,1000.7,1005.9,9.9,2020,3,19,2020-03
